Interval,Num,PER
"(0, 50]",685,15.20%
"(100, 150]",352,7.81%
"(1000, 1050]",26,0.58%
"(1050, 1100]",44,0.98%
"(1100, 1150]",29,0.64%
"(1150, 1200]",32,0.71%
"(1200, 1250]",25,0.55%
"(1250, 1300]",21,0.47%
"(1300, 1350]",25,0.55%
"(1350, 1400]",15,0.33%
"(1400, 1450]",23,0.51%
"(1450, 1500]",17,0.38%
"(150, 200]",260,5.77%
"(1500, 1550]",24,0.53%
"(1550, 1600]",20,0.44%
"(1600, 1650]",11,0.24%
"(1650, 1700]",21,0.47%
"(1700, 1750]",22,0.49%
"(1750, 1800]",15,0.33%
"(1800, 1850]",9,0.20%
"(1850, 1900]",17,0.38%
"(1900, 1950]",17,0.38%
"(1950, 2000]",13,0.29%
"(200, 250]",199,4.42%
"(2000, 2050]",9,0.20%
"(2050, 2100]",18,0.40%
"(2100, 2150]",14,0.31%
"(2150, 2200]",16,0.36%
"(2200, 2250]",9,0.20%
"(2250, 2300]",9,0.20%
"(2300, 2350]",14,0.31%
"(2350, 2400]",9,0.20%
"(2400, 2450]",13,0.29%
"(2450, 2500]",4,0.09%
"(250, 300]",179,3.97%
"(2500, 2550]",11,0.24%
"(2550, 2600]",10,0.22%
"(2600, 2650]",8,0.18%
"(2650, 2700]",6,0.13%
"(2700, 2750]",6,0.13%
"(2750, 2800]",11,0.24%
"(2800, 2850]",12,0.27%
"(2850, 2900]",13,0.29%
"(2900, 2950]",5,0.11%
"(2950, 3000]",11,0.24%
"(300, 350]",160,3.55%
"(3000, 3050]",2,0.04%
"(3050, 3100]",8,0.18%
"(3100, 3150]",8,0.18%
"(3150, 3200]",5,0.11%
"(3200, 3250]",5,0.11%
"(3250, 3300]",7,0.16%
"(3300, 3350]",2,0.04%
"(3350, 3400]",3,0.07%
"(3400, 3450]",11,0.24%
"(3450, 3500]",8,0.18%
"(350, 400]",121,2.68%
"(3500, 3550]",2,0.04%
"(3550, 3600]",5,0.11%
"(3600, 3650]",6,0.13%
"(3650, 3700]",7,0.16%
"(3700, 3750]",3,0.07%
"(3750, 3800]",9,0.20%
"(3800, 3850]",5,0.11%
"(3850, 3900]",3,0.07%
"(3900, 3950]",6,0.13%
"(3950, 4000]",7,0.16%
"(400, 450]",119,2.64%
"(4000, 4050]",7,0.16%
"(4050, 4100]",0,0.00%
"(4100, 4150]",6,0.13%
"(4150, 4200]",2,0.04%
"(4200, 4250]",3,0.07%
"(4250, 4300]",3,0.07%
"(4300, 4350]",2,0.04%
"(4350, 4400]",3,0.07%
"(4400, 4450]",4,0.09%
"(4450, 4500]",1,0.02%
"(450, 500]",93,2.06%
"(4500, 4550]",3,0.07%
"(4550, 4600]",2,0.04%
"(4600, 4650]",4,0.09%
"(4650, 4700]",5,0.11%
"(4700, 4750]",2,0.04%
"(4750, 4800]",1,0.02%
"(4800, 4850]",9,0.20%
"(4850, 4900]",0,0.00%
"(4900, 4950]",3,0.07%
"(4950, 5000]",51,1.13%
"(50, 100]",541,12.00%
"(500, 550]",96,2.13%
"(5000, 5050]",109,2.42%
"(5050, 5100]",30,0.67%
"(5100, 5150]",10,0.22%
"(5150, 5200]",14,0.31%
"(5200, 5250]",11,0.24%
"(5250, 5300]",13,0.29%
"(5300, 5350]",8,0.18%
"(5350, 5400]",6,0.13%
"(5400, 5450]",6,0.13%
"(5450, 5500]",6,0.13%
"(550, 600]",77,1.71%
"(5500, 5550]",3,0.07%
"(5550, 5600]",6,0.13%
"(5600, 5650]",9,0.20%
"(5650, 5700]",4,0.09%
"(5700, 5750]",2,0.04%
"(5750, 5800]",3,0.07%
"(5800, 5850]",3,0.07%
"(5850, 5900]",5,0.11%
"(5900, 5950]",1,0.02%
"(5950, 6000]",3,0.07%
"(600, 650]",65,1.44%
"(6000, 6050]",3,0.07%
"(6050, 6100]",6,0.13%
"(6100, 6150]",4,0.09%
"(6150, 6200]",3,0.07%
"(6200, 6250]",2,0.04%
"(6250, 6300]",2,0.04%
"(6300, 6350]",3,0.07%
"(6350, 6400]",1,0.02%
"(6400, 6450]",0,0.00%
"(6450, 6500]",0,0.00%
"(650, 700]",67,1.49%
"(6500, 6550]",3,0.07%
"(6550, 6600]",3,0.07%
"(6600, 6650]",0,0.00%
"(6650, 6700]",0,0.00%
"(6700, 6750]",1,0.02%
"(6750, 6800]",3,0.07%
"(6800, 6850]",2,0.04%
"(6850, 6900]",3,0.07%
"(6900, 6950]",1,0.02%
"(6950, 7000]",0,0.00%
"(700, 750]",62,1.38%
"(7000, 7050]",0,0.00%
"(7050, 7100]",2,0.04%
"(7100, 7150]",1,0.02%
"(7150, 7200]",2,0.04%
"(7200, 7250]",1,0.02%
"(7250, 7300]",1,0.02%
"(7300, 7350]",0,0.00%
"(7350, 7400]",1,0.02%
"(7400, 7450]",1,0.02%
"(7450, 7500]",0,0.00%
"(750, 800]",51,1.13%
"(7500, 7550]",0,0.00%
"(7550, 7600]",2,0.04%
"(7600, 7650]",1,0.02%
"(7650, 7700]",0,0.00%
"(7700, 7750]",1,0.02%
"(7750, 7800]",1,0.02%
"(7800, 7850]",0,0.00%
"(7850, 7900]",4,0.09%
"(7900, 7950]",0,0.00%
"(7950, 8000]",2,0.04%
"(800, 850]",59,1.31%
"(8000, 8050]",2,0.04%
"(8050, 8100]",1,0.02%
"(8100, 8150]",0,0.00%
"(8150, 8200]",2,0.04%
"(8200, 8250]",1,0.02%
"(8250, 8300]",0,0.00%
"(8300, 8350]",0,0.00%
"(8350, 8400]",0,0.00%
"(8400, 8450]",0,0.00%
"(8450, 8500]",0,0.00%
"(850, 900]",44,0.98%
"(8500, 8550]",0,0.00%
"(8550, 8600]",1,0.02%
"(8600, 8650]",2,0.04%
"(8650, 8700]",0,0.00%
"(8700, 8750]",0,0.00%
"(8750, 8800]",1,0.02%
"(8800, 8850]",1,0.02%
"(8850, 8900]",0,0.00%
"(8900, 8950]",0,0.00%
"(8950, 9000]",0,0.00%
"(900, 950]",44,0.98%
"(9000, 9050]",1,0.02%
