copy-of-3255,"{'id': 7807576515, 'title': '8468', 'handle': 'copy-of-3255', 'description': ""<p>5'x10'</p>"", 'published_at': '2016-08-02T16:49:00-07:00', 'created_at': '2016-08-02T16:52:32-07:00', 'vendor': 'Amadi', 'type': 'Vintage', 'tags': ['Vintage'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': True, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 25129314051, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': '', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': '8468', 'public_title': None, 'options': ['Default Title'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 1, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': ''}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/8468_5_3x9_8.jpg?v=1470182006'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/8468_5_3x9_8.jpg?v=1470182006', 'options': [{'name': 'Title', 'position': 1, 'values': ['Default Title']}], 'url': '/products/copy-of-3255', 'media': [{'alt': None, 'id': 92607971397, 'position': 1, 'preview_image': {'aspect_ratio': 0.616, 'height': 2048, 'width': 1261, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/8468_5_3x9_8.jpg?v=1568778555'}, 'aspect_ratio': 0.616, 'height': 2048, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/8468_5_3x9_8.jpg?v=1568778555', 'width': 1261}]}"
copy-of-10426,"{'id': 7807637315, 'title': 'K035', 'handle': 'copy-of-10426', 'description': ""<p>5'x6'</p>"", 'published_at': '2016-08-02T16:49:00-07:00', 'created_at': '2016-08-02T16:56:33-07:00', 'vendor': 'Amadi', 'type': 'Vintage', 'tags': ['Vintage'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': True, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 25129464579, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': '', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'K035', 'public_title': None, 'options': ['Default Title'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 1, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': ''}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/k035_4_11x6_1.jpg?v=1470182223'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/k035_4_11x6_1.jpg?v=1470182223', 'options': [{'name': 'Title', 'position': 1, 'values': ['Default Title']}], 'url': '/products/copy-of-10426', 'media': [{'alt': None, 'id': 92608069701, 'position': 1, 'preview_image': {'aspect_ratio': 0.824, 'height': 2048, 'width': 1687, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/k035_4_11x6_1.jpg?v=1568778555'}, 'aspect_ratio': 0.824, 'height': 2048, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/k035_4_11x6_1.jpg?v=1568778555', 'width': 1687}]}"
copy-of-k035,"{'id': 7807653827, 'title': 'MC14168', 'handle': 'copy-of-k035', 'description': ""<p>4'x6'</p>"", 'published_at': '2016-08-02T16:49:00-07:00', 'created_at': '2016-08-02T16:57:32-07:00', 'vendor': 'Amadi', 'type': 'Vintage', 'tags': ['Vintage'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': True, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 25129509507, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': '', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'MC14168', 'public_title': None, 'options': ['Default Title'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 1, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': ''}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/mc14168_4x6.jpg?v=1470182298'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/mc14168_4x6.jpg?v=1470182298', 'options': [{'name': 'Title', 'position': 1, 'values': ['Default Title']}], 'url': '/products/copy-of-k035', 'media': [{'alt': None, 'id': 92608233541, 'position': 1, 'preview_image': {'aspect_ratio': 0.8, 'height': 2048, 'width': 1638, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/mc14168_4x6.jpg?v=1568778555'}, 'aspect_ratio': 0.8, 'height': 2048, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/mc14168_4x6.jpg?v=1568778555', 'width': 1638}]}"
k006,"{'id': 7853318851, 'title': 'K006', 'handle': 'k006', 'description': '', 'published_at': '2016-08-05T17:35:23-07:00', 'created_at': '2016-08-05T17:35:23-07:00', 'vendor': 'Amadi Collection', 'type': 'Rug', 'tags': ['6x14'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': False, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 25290273283, 'title': '6\'3""x13\'9', 'option1': '6\'3""x13\'9', 'option2': None, 'option3': None, 'sku': 'MISC0007', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': False, 'name': 'K006 - 6\'3""x13\'9', 'public_title': '6\'3""x13\'9', 'options': ['6\'3""x13\'9'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 0, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': None}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/2pC1ei8ISDWNhG7kglT3_k006_2013_9x6_3.jpg?v=1470443724'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/2pC1ei8ISDWNhG7kglT3_k006_2013_9x6_3.jpg?v=1470443724', 'options': [{'name': 'Size', 'position': 1, 'values': ['6\'3""x13\'9']}], 'url': '/products/k006', 'media': [{'alt': None, 'id': 93222961221, 'position': 1, 'preview_image': {'aspect_ratio': 0.75, 'height': 960, 'width': 720, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/2pC1ei8ISDWNhG7kglT3_k006_2013_9x6_3.jpg?v=1568779119'}, 'aspect_ratio': 0.75, 'height': 960, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/2pC1ei8ISDWNhG7kglT3_k006_2013_9x6_3.jpg?v=1568779119', 'width': 720}]}"
3255,"{'id': 7807571651, 'title': '3255', 'handle': '3255', 'description': ""<p>4'X 7'</p>"", 'published_at': '2016-08-02T16:49:00-07:00', 'created_at': '2016-08-02T16:52:07-07:00', 'vendor': 'Amadi', 'type': 'Vintage', 'tags': ['Vintage'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': True, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 25129297475, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': '', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': '3255', 'public_title': None, 'options': ['Default Title'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 1, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': ''}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/3255_4.2_X_7.3.JPG?v=1470181938'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/3255_4.2_X_7.3.JPG?v=1470181938', 'options': [{'name': 'Title', 'position': 1, 'values': ['Default Title']}], 'url': '/products/3255', 'media': [{'alt': None, 'id': 92607938629, 'position': 1, 'preview_image': {'aspect_ratio': 0.616, 'height': 2000, 'width': 1232, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/3255_4.2_X_7.3.JPG?v=1568778555'}, 'aspect_ratio': 0.616, 'height': 2000, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/3255_4.2_X_7.3.JPG?v=1568778555', 'width': 1232}]}"
copy-of-mc15170,"{'id': 7807846275, 'title': 'MC15236', 'handle': 'copy-of-mc15170', 'description': ""<p>4'x13'</p>"", 'published_at': '2016-08-02T16:49:00-07:00', 'created_at': '2016-08-02T17:09:05-07:00', 'vendor': 'Amadi', 'type': 'Vintage', 'tags': ['Vintage'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': True, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 25130148803, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': '', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'MC15236', 'public_title': None, 'options': ['Default Title'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 1, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': ''}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/mc15236_4x13.jpg?v=1470183030'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/mc15236_4x13.jpg?v=1470183030', 'options': [{'name': 'Title', 'position': 1, 'values': ['Default Title']}], 'url': '/products/copy-of-mc15170', 'media': [{'alt': None, 'id': 92608659525, 'position': 1, 'preview_image': {'aspect_ratio': 0.444, 'height': 2048, 'width': 909, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/mc15236_4x13.jpg?v=1568778556'}, 'aspect_ratio': 0.444, 'height': 2048, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/mc15236_4x13.jpg?v=1568778556', 'width': 909}]}"
copy-of-mc15236,"{'id': 7807868483, 'title': 'PR0005', 'handle': 'copy-of-mc15236', 'description': ""<p>3'x6'</p>"", 'published_at': '2016-08-02T16:49:00-07:00', 'created_at': '2016-08-02T17:10:48-07:00', 'vendor': 'Amadi', 'type': 'Vintage', 'tags': ['Vintage'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': True, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 25130202499, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': '', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'PR0005', 'public_title': None, 'options': ['Default Title'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 1, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': ''}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/pr0005_2_11x6.jpg?v=1470183230'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/pr0005_2_11x6.jpg?v=1470183230', 'options': [{'name': 'Title', 'position': 1, 'values': ['Default Title']}], 'url': '/products/copy-of-mc15236', 'media': [{'alt': None, 'id': 92608692293, 'position': 1, 'preview_image': {'aspect_ratio': 0.716, 'height': 2048, 'width': 1467, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/pr0005_2_11x6.jpg?v=1568778556'}, 'aspect_ratio': 0.716, 'height': 2048, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/pr0005_2_11x6.jpg?v=1568778556', 'width': 1467}]}"
8138-moroccan-45x1111,"{'id': 8353971907, 'title': '8138 / Moroccan / 3\'10""x8\'8""', 'handle': '8138-moroccan-45x1111', 'description': '', 'published_at': '2016-09-07T23:40:08-07:00', 'created_at': '2016-09-07T23:40:08-07:00', 'vendor': 'Amadi Carpets Inc', 'type': 'Moroccan', 'tags': ['4x9', 'Designer', 'Made in Morocco', 'Wholesale'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': True, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 27647671107, 'title': '3\'10""x8\'8""', 'option1': '3\'10""x8\'8""', 'option2': None, 'option3': None, 'sku': 'Moroccan0008', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': '8138 / Moroccan / 3\'10""x8\'8"" - 3\'10""x8\'8""', 'public_title': '3\'10""x8\'8""', 'options': ['3\'10""x8\'8""'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 1, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': None}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/eUOdsP7Rfy1zNKBl9cwQ_8138_203_10x8_8.jpg?v=1473316810'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/eUOdsP7Rfy1zNKBl9cwQ_8138_203_10x8_8.jpg?v=1473316810', 'options': [{'name': 'Size', 'position': 1, 'values': ['3\'10""x8\'8""']}], 'url': '/products/8138-moroccan-45x1111', 'media': [{'alt': None, 'id': 2570448044101, 'position': 1, 'preview_image': {'aspect_ratio': 0.398, 'height': 2048, 'width': 816, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/eUOdsP7Rfy1zNKBl9cwQ_8138_203_10x8_8.jpg?v=1569973920'}, 'aspect_ratio': 0.398, 'height': 2048, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/eUOdsP7Rfy1zNKBl9cwQ_8138_203_10x8_8.jpg?v=1569973920', 'width': 816}]}"
copy-of-8469,"{'id': 7807814851, 'title': 'MC15160', 'handle': 'copy-of-8469', 'description': ""<p>3'x4'</p>"", 'published_at': '2016-08-02T16:49:00-07:00', 'created_at': '2016-08-02T17:06:22-07:00', 'vendor': 'Amadi', 'type': 'Vintage', 'tags': ['Vintage'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': True, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 25130070275, 'title': 'Default Title', 'option1': 'Default Title', 'option2': None, 'option3': None, 'sku': '', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'MC15160', 'public_title': None, 'options': ['Default Title'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 1, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': ''}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/MC15160_3_3x3_10.edited.jpg?v=1470182870'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/MC15160_3_3x3_10.edited.jpg?v=1470182870', 'options': [{'name': 'Title', 'position': 1, 'values': ['Default Title']}], 'url': '/products/copy-of-8469', 'media': [{'alt': None, 'id': 92608593989, 'position': 1, 'preview_image': {'aspect_ratio': 0.838, 'height': 1034, 'width': 867, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/MC15160_3_3x3_10.edited.jpg?v=1568778556'}, 'aspect_ratio': 0.838, 'height': 1034, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/MC15160_3_3x3_10.edited.jpg?v=1568778556', 'width': 867}]}"
8144-moroccan-510x1110,"{'id': 8353974595, 'title': '8144 / Moroccan / 5\'10""x11\'10""', 'handle': '8144-moroccan-510x1110', 'description': '<p></p>', 'published_at': '2016-09-20T00:03:14-07:00', 'created_at': '2016-09-07T23:40:19-07:00', 'vendor': 'Amadi Carpets Inc', 'type': 'Moroccan', 'tags': ['6x12', 'Designer', 'Made in Morocco', ""Moroccan_6' Wide"", 'Wholesale'], 'price': 0, 'price_min': 0, 'price_max': 0, 'available': False, 'price_varies': False, 'compare_at_price': None, 'compare_at_price_min': 0, 'compare_at_price_max': 0, 'compare_at_price_varies': False, 'variants': [{'id': 27647688003, 'title': '5\'10""x11\'10""', 'option1': '5\'10""x11\'10""', 'option2': None, 'option3': None, 'sku': 'Moroccan0003', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': False, 'name': '8144 / Moroccan / 5\'10""x11\'10"" - 5\'10""x11\'10""', 'public_title': '5\'10""x11\'10""', 'options': ['5\'10""x11\'10""'], 'price': 0, 'weight': 0, 'compare_at_price': None, 'inventory_quantity': 0, 'inventory_management': 'shopify', 'inventory_policy': 'deny', 'barcode': None}], 'images': ['//cdn.shopify.com/s/files/1/1363/5253/products/NK2SZF9oR8evFpe2llgd_8144-07_205_10_20x_2010_10.jpg?v=1473316822', '//cdn.shopify.com/s/files/1/1363/5253/products/MDUIzsZfT8qHhkzXOss9_8144-07_20detail.jpg?v=1473316823'], 'featured_image': '//cdn.shopify.com/s/files/1/1363/5253/products/NK2SZF9oR8evFpe2llgd_8144-07_205_10_20x_2010_10.jpg?v=1473316822', 'options': [{'name': 'Size', 'position': 1, 'values': ['5\'10""x11\'10""']}], 'url': '/products/8144-moroccan-510x1110', 'media': [{'alt': None, 'id': 2570448076869, 'position': 1, 'preview_image': {'aspect_ratio': 1.045, 'height': 1188, 'width': 1242, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/NK2SZF9oR8evFpe2llgd_8144-07_205_10_20x_2010_10.jpg?v=1569973920'}, 'aspect_ratio': 1.045, 'height': 1188, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/NK2SZF9oR8evFpe2llgd_8144-07_205_10_20x_2010_10.jpg?v=1569973920', 'width': 1242}, {'alt': None, 'id': 2570448109637, 'position': 2, 'preview_image': {'aspect_ratio': 1.333, 'height': 1224, 'width': 1632, 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/MDUIzsZfT8qHhkzXOss9_8144-07_20detail.jpg?v=1569973920'}, 'aspect_ratio': 1.333, 'height': 1224, 'media_type': 'image', 'src': 'https://cdn.shopify.com/s/files/1/1363/5253/products/MDUIzsZfT8qHhkzXOss9_8144-07_20detail.jpg?v=1569973920', 'width': 1632}]}"
